Rarity,Color,Cost,Title,Power,Health,Type,SubType,Text,Exp,Legendary,Land Average Percentage to Hit,Charges
C,W,1,Faithful Caracal,2,2,Creature,Cat,Attack: Heal yourself for 2.,Opening Ceremony,,,
C,W,1,Untested Rookie,2,2,Creature,Soldier,"The first time this survives a fight, it gets +2/+2.",Opening Ceremony,,,
C,W,2,Blink Dog Pack,1,1,Creature,Dog,Debut: Summon a copy of this creature.,D&D: Icons,,,
C,W,2,Shieldsmith,2,2,Creature,Dwarf Artificer,Debut: Add a Sturdy Shield to your hand.,Opening Ceremony,,,
C,W,2,Silver Griffin,1,3,Creature,Monster,Flying,Opening Ceremony,,,
C,W,3,Swordsmith,4,3,Creature,Dwarf Artificer,Debut: Add a Sharp Sword to your hand.,Opening Ceremony,,,
C,W,3,Vainglorious Hero,2,2,Creature,Soldier,Debut: Gets +1/+1 for each other friendly creature.,Opening Ceremony,,,
C,W,4,Angel of Mercy,3,2,Creature,Angel,"Flying,
Debut: Heal 3.",Opening Ceremony,,,
C,W,5,Canny Knight,6,6,Creature,Soldier,Can’t be stunned.,Opening Ceremony,,,
C,W,5,Watchful Giant,4,7,Creature,Giant Soldier,"After this blocks, heal yourself for 2.",Opening Ceremony,,,
C,W,6,Pearl Dragon,4,8,Creature,Dragon,Flying,Opening Ceremony,,,
C,W,2,Retaliate,,,Spell,,Deal 4 damage to an enemy creature that attacked last turn.,Opening Ceremony,,,
C,W,2,Revoke,,,Spell,,Stun an enemy creature or destroy an enemy artifact.,Opening Ceremony,,,
C,W,3,Holy Armor,,,Spell,,Give a friendly creature armor and heal yourself for 3.,Opening Ceremony,,,
C,W,1,Beginner’s Luck,,,Trap,,"After a friendly creature survives a fight, give it +3/+3.",Opening Ceremony,,,
C,W,2,Ready to Rumble,,,Trap,,"Before a friendly creature fights, give all friendly creatures +0/+1.",Opening Ceremony,,,
C,W,1,Healer's Kit,,,Artifact,,Activate: Heal anything 1.,D&D: Icons,,,
C,W,2,Weapon Rack,,,Artifact,,Activate: Give a friendly creature +1/+1.,Opening Ceremony,,,
R,W,1,Daughter of Runes,1,2,Creature,Cleric,Debut: Give the next creature you draw armor.,Opening Ceremony,,,
R,W,2,Sun Empire Brawler,3,1,Creature,Warrior,Attack: Gets +1/+1.,Opening Ceremony,,,
R,W,3,Leonin Warleader,4,3,Creature,Cat Soldier,Attack: Add a random white creature that costs 2 or less to your hand.,Opening Ceremony,,,
R,W,3,Pinpoint Avenger,3,4,Creature,Mystic,Debut: Deal 1 damage to each enemy creature that attacked you last turn.,Opening Ceremony,,,
R,W,4,Aven Tour Guide,2,3,Creature,Bird Soldier,"Flying,
Debut: Give another friendly creature flying this turn.",Opening Ceremony,,,
R,W,4,Redeemed Thief,3,4,Creature,Vampire Rogue,"Flying during your turn.,
Can't trigger traps.",D&D: Icons,,,
R,W,4,Windborne Roc,2,5,Creature,Bird,"Flying,
Attack: Heal yourself 1 for each attacker.",Opening Ceremony,,,
R,W,6,Stronghold Commander,6,5,Creature,Soldier,Debut: Give all other friendly creatures +0/+2.,Opening Ceremony,,,
R,W,2,Drum Up Support,,,Spell,,"Add a Soldier, a Sharp Sword, and a Sturdy Shield to your hand.",Opening Ceremony,,,
R,W,3,Path to Exile,,,Spell,,Destroy an enemy creature. Your opponent gets an empty mana gem.,Opening Ceremony,,,
R,W,4,Power Word Stun,,,Spell,,Stun an enemy creature for the rest of the game.,D&D: Icons,,,
R,W,1,Champion’s Grit,,,Trap,,"After a friendly creature dies, return it to your hand and give it +1/+1.",Opening Ceremony,,,
R,W,2,Under My Watch,,,Trap,,"If your opponent targets a friendly creature, summon a Knight as the new target.",Opening Ceremony,,,
R,W,3,Immolating Glare,,,Trap,,"After your opponent attacks, destroy the strongest attacking creature.",Opening Ceremony,,,
R,W,3,Spirit Vial,,,Artifact,,Activate: Summon a Lingering Spirit.,Opening Ceremony,,,
R,W,,Training Yard,,,Land,,"Starting turn 5, you have a chance to add a random white creature that costs 2 or less to your hand and give it +1/+1 instead of getting a mana gem.",Opening Ceremony,,30,
E,W,3,Paragon of Balance,3,3,Creature,Soldier,Debut: Set the power of all other creatures to their current health.,Opening Ceremony,,,
E,W,3,"Regna, Redeemer",3,1,Creature,Angel,"Flying,
Prevent all damage Regna would take during your turn.",Opening Ceremony,Y,,
E,W,3,Sparkling Unicorn,3,3,Creature,Mystic Beast,Your healing effects heal +1.,Opening Ceremony,,,
E,W,3,Stoneforge Mystic,2,3,Creature,Mystic,Debut: Draft a Mystic Weapon and add it to your hand.,Opening Ceremony,,,
E,W,5,Eminent Archangel,3,4,Creature,Angel,"Flying,
Debut: Heal yourself equal to the damage you were dealt last turn. Max 7. ",Opening Ceremony,,,
E,W,5,Sylvia Brightspear,4,6,Creature,Soldier,Debut: Set the health of each enemy creature to 1.,Opening Ceremony,Y,,
E,W,5,Team Captain,4,3,Creature,Soldier,"Armor,
Attack: Give all friendly creatures +1/+1.",Opening Ceremony,,,
E,W,7,Celestial Protector,6,6,Creature,Angel,"Flying,
Debut: Give all other friendly creatures armor.",Opening Ceremony,,,
E,W,8,Icingdeath,6,8,Creature,Dragon,"Flying,
Debut: Destroy all creatures with power greater than their health.",D&D: Icons,Y,,
E,W,3,Blessed Rebirth,,,Spell,,Summon from your graveyard all friendly creatures that died this turn.,Opening Ceremony,,,
E,W,7,Day of Judgment,,,Spell,,Destroy all creatures.,Opening Ceremony,,,
E,W,,Sacred Sanctum,,,Land,,"Before the game starts, heal yourself for 2.,
Starting turn 5, you have a chance to heal yourself for 2. If so, this turn’s mana gem is empty.",Opening Ceremony,,30,
M,W,4,Danitha Capashen,5,4,Creature,Soldier,"After you target a friendly creature, that creature gets +1/+1.",Opening Ceremony,Y,,
M,W,6,Sun Titan,6,6,Creature,Giant,Debut and Attack: Draw the creature from your deck with the lowest cost.,Opening Ceremony,,,
M,W,9,"Akroma, Angel of Wrath",8,8,Creature,Angel,"Flying, Trample, Armor, Haste",Opening Ceremony,Y,,
M,W,6,Second Sun’s Dawn,,,Spell,,Heal yourself for 7 and add a Second Sun to your deck.,Opening Ceremony,,,
M,W,,Oath of the Paladin,,,Skill,Class,"You are a Paladin.,
At the start of the game, Level Up.",D&D: Icons,Y,,
B,W,1,Elite Vanguard,3,1,Creature,Soldier,,Core Set,,,
B,W,1,Lingering Spirit,1,1,Creature,Spirit,Flying,Core Set,,,
B,W,2,Devoted Steed,2,2,Creature,Beast,Debut: Give a friendly creature +1/+1.,Core Set,,,
B,W,2,Frontline Paladin,1,3,Creature,Soldier,Armor,Core Set,,,
B,W,2,Leonin Healer,2,3,Creature,Cleric,Debut: Heal 3.,Core Set,,,
B,W,3,Chapel Geist,2,3,Creature,Spirit,Flying,Core Set,,,
B,W,3,Towering Shieldbearer,1,7,Creature,Giant Soldier,,Core Set,,,
B,W,4,Ceremonial Guard,5,6,Creature,Giant Soldier,,Core Set,,,
B,W,4,Knight Militant,4,4,Creature,Soldier,Debut: Summon a Soldier.,Core Set,,,
B,W,5,Knight of the Tusk,5,4,Creature,Soldier,Armor,Core Set,,,
B,W,5,Rhox Pit Fighter,5,5,Creature,Beast Soldier,Debut: Stun an enemy creature.,Core Set,,,
B,W,6,Armored Angel,4,4,Creature,Angel,"Flying,
Armor",Core Set,,,
B,W,1,Destabilize,,,Spell,,Set an enemy creature’s health to 1.,Core Set,,,
B,W,2,Mend,,,Spell,,Heal 5.,Core Set,,,
B,W,3,Glorious Anthem,,,Spell,,Give all friendly creatures +1/+1.,Core Set,,,
B,W,3,Smite the Monstrous,,,Spell,,Destroy an enemy creature with power 5 or greater.,Core Set,,,
B,W,4,Thwack!,,,Spell,,Stun up to 2 enemy creatures.,Core Set,,,
B,W,1,Shields Up,,,Trap,,"Before a friendly creature fights, give it armor.",Core Set,,,
B,W,2,Elixir of Vitality,,,Artifact,,Activate: Heal 2.,Core Set,,,
B,W,,Plains,,,Land,Basic,,Core Set,,,
T,W,1,Faithful Steed,1,2,Creature,Beast,"Level Up — Divine Smite,
Debut: Give a friendly creature +0/+1.",D&D: Icons,,,
T,W,1,Soldier,1,1,Creature,Soldier,,Core Set,,,
T,W,2,Knight,2,3,Creature,Soldier,,Opening Ceremony,,,
T,W,1,Mystic Weapon,,,Spell,,Give a friendly creature +1/+1 and a drafted upgrade.,Opening Ceremony,,,
T,W,1,Sharp Sword,,,Spell,,Give a friendly creature +2/+0.,Opening Ceremony,,,
T,W,1,Sturdy Shield,,,Spell,,Give a friendly creature +0/+2.,Opening Ceremony,,,
T,W,3,Divine Smite,,,Spell,,"Level Up — Aura of Courage,
Deal damage to an enemy creature equal to the number of friendly creatures. ,
",D&D: Icons,,,
T,W,4,Aura of Courage,,,Spell,,"For the rest of the game, after a friendly creature attacks, it gets +1/+1.",D&D: Icons,,,
C,U,1,Li'l Foggie,1,3,Creature,Elemental,"Sneak,
Ward",Opening Ceremony,,,
C,U,1,Spawning Arowana,0,3,Creature,Beast Illusion,Debut: Summon a copy of this.,Opening Ceremony,,,
C,U,2,Acolyte of Shadow,3,2,Creature,Monk,"Sneak,
After this damages your opponent, return it to your hand.",D&D: Icons,,,
C,U,2,Lorekeeper,2,1,Creature,Wizard,Debut: Add a random spell to your hand.,Opening Ceremony,,,
C,U,2,Prodigal Student,2,3,Creature,Wizard,"After you play a spell, gets +0/+1.",Opening Ceremony,,,
C,U,2,Wintergrip Mage,1,3,Creature,Wizard,Finale: Add a Chill Wind to your hand.,Opening Ceremony,,,
C,U,3,Befuddling Merfolk,3,3,Creature,Merfolk Wizard,Debut: Give an enemy creature -2/-0.,Opening Ceremony,,,
C,U,3,Wielder of Waves,3,4,Creature,Merfolk Wizard,Debut: Give a friendly creature ward.,Opening Ceremony,,,
C,U,4,Runeshell King,6,6,Creature,Beast,Debut: Give a friendly creature can't attack.,Opening Ceremony,,,
C,U,5,Mist Raven,3,3,Creature,Bird,"Flying,
Debut: Return an enemy creature to hand.",Opening Ceremony,,,
C,U,6,Skymaster Sphinx,4,5,Creature,Monster,"Flying,
Attack: Mill your opponent for 1.",Opening Ceremony,,,
C,U,1,Invert,,,Spell,,Switch any creature’s power and health.,Opening Ceremony,,,
C,U,2,Anticipate,,,Spell,,Draft a card from your deck and draw it.,Opening Ceremony,,,
C,U,2,Bubble Shield,,,Spell,,Give a friendly creature +0/+2 and ward.,Opening Ceremony,,,
C,U,6,Opportunity,,,Spell,,Draw 4 cards.,Opening Ceremony,,,
C,U,2,Negate,,,Trap,,"If your opponent plays a spell, trap, or artifact, counter it.",Opening Ceremony,,,
C,U,4,Mystic Tome,,,Artifact,,Activate: Draw a card.,Opening Ceremony,,,
C,U,5,Wizard's Spellbook,,,Artifact,,Activate: Draw 2 cards.,D&D: Icons,,,
R,U,1,Inventive Crafter,1,2,Creature,Artificer,Debut: Add a Crafted Glider to your hand.,Opening Ceremony,,,
R,U,1,Mana Constrictor,2,2,Creature,Snake Illusion,Debut: Raise the cost of the next card your opponent draws by 1.,Opening Ceremony,,,
R,U,2,Stern Artificer,3,2,Creature,Wizard,Debut: Add a charge to a random artifact in your hand.,Opening Ceremony,,,
R,U,3,Aether Figment,3,2,Creature,Illusion,Costs 0 if you’ve drafted this turn.,Opening Ceremony,,,
R,U,3,Phantom Warrior,3,2,Creature,Illusion Warrior,Always has Sneak.,Opening Ceremony,,,
R,U,4,Cerulean Dragon,2,2,Creature,Dragon,"Flying,
After you draw a card, this gets +1/+1.",Opening Ceremony,,,
R,U,4,Confounding Entity,2,4,Creature,Elemental,"Flying,
Debut: Switch any creature's power and health.",Opening Ceremony,,,
R,U,4,Pixie Trickster,3,1,Creature,Monster,"Flying,
Debut: Transform any creature into a Giant Frog.",D&D: Icons,,,
R,U,5,Naga Rogue,3,5,Creature,Snake Rogue,"Sneak,
After this damages your opponent, mill them for 2.",Opening Ceremony,,,
R,U,5,Wavelash Viper,5,5,Creature,Snake,Debut: Give each enemy creature -1/-0.,Opening Ceremony,,,
R,U,4,Jolt of Inspiration,,,Spell,,Add 3 random spells to your hand.,Opening Ceremony,,,
R,U,1,Dupe,,,Trap,,"After your opponent plays a spell, add a copy of it to your hand.",Opening Ceremony,,,
R,U,1,Resilient Sphere,,,Trap,,"If your opponent plays a legendary creature, counter it.",D&D: Icons,,,
R,U,2,Mana Short,,,Trap,,"At the end of your opponent’s turn, disarm their traps and steal their unused mana.",Opening Ceremony,,,
R,U,3,Millstone,,,Artifact,,Activate: Mill your opponent for 2.,Opening Ceremony,,,
R,U,,Fountain of Magic,,,Land,,"Starting turn 6, you have a chance to add a spell that costs 6 or less to your hand instead of getting a mana gem.",Opening Ceremony,,30,
E,U,2,"Zndrsplt, the Clever",2,4,Creature,Homunculus Wizard,Attack: Each player draws a card.,Opening Ceremony,Y,,
E,U,3,Iymrith,1,4,Creature,Dragon Wizard,"Flying,
Attack: Mill yourself for 2, then Iymrith gets +1/+0 for every 5 cards in your graveyard. ",D&D: Icons,Y,,
E,U,3,"Toothy, the Dream",6,4,Creature,Illusion,"After Toothy survives a fight, return him to your hand.",Opening Ceremony,Y,,
E,U,4,Clone,1,1,Creature,Illusion,Debut: Transforms into a copy of a friendly creature.,Opening Ceremony,,,
E,U,4,Mirror Mage,2,2,Creature,Wizard,Debut: Summon a Mage Mirror.,Opening Ceremony,,,
E,U,5,Sphinx of Riddles,2,5,Creature,Monster,"Flying,
Debut: Draft a trap and add it to your hand.",Opening Ceremony,,,
E,U,13,Breaching Serpent,6,6,Creature,Snake,"Sneak,
Costs 1 less for each spell and trap you’ve played this game. (N spells and traps)",Opening Ceremony,,,
E,U,1,Tinker,,,Spell,,Destroy a friendly artifact to draft an artifact and summon it.,Opening Ceremony,,,
E,U,8,Clear the Field,,,Spell,,Return all creatures to hand.,Opening Ceremony,,,
E,U,2,Isochron Scepter,,,Artifact,,Activate: Draft a spell that costs 2 or less and add it to your hand.,Opening Ceremony,,,
E,U,7,Energy Extractor,,,Artifact,,Activate: Refill your mana gems.,Opening Ceremony,,,
E,U,,Tolarian Academy,,,Land,,"Your artifacts cost 1 less. Starting turn 5, you have a chance to increase this discount by 1 instead of getting a mana gem.",Opening Ceremony,,20,
M,U,6,Alhammarret,3,5,Creature,Monster,"Flying, Ward,
After Alhammarret damages your opponent, draw a card and change its cost to 1.",Opening Ceremony,Y,,
M,U,6,Frost Titan,6,6,Creature,Giant,Debut and Attack: Stun a random enemy creature.,Opening Ceremony,,,
M,U,6,Master of Possibilities,4,4,Creature,Wizard,"Debut: Draft a temporary spell that costs 6 or less, change its cost to 0, and add it to your hand.",Opening Ceremony,,,
M,U,8,"Arcanis, the Archmage",5,5,Creature,Wizard,Debut: Add a Mystical Arcana to your hand and the remaining two to your deck.,Opening Ceremony,Y,,
M,U,,School of the Wizard,,,Skill,Class,"You are a Wizard.,
At the start of the game, Level Up.",D&D: Icons,Y,,
B,U,1,Runeshell Crab,3,3,Creature,Beast,CantAttack,Core Set,,,
B,U,2,Snapshell Turtle,2,4,Creature,Beast,"After you play a trap, gets +1/+0.",Core Set,,,
B,U,2,Stone Turtle,0,6,Creature,Beast,,Core Set,,,
B,U,2,Welkin Tern,2,2,Creature,Bird,Flying,Core Set,,,
B,U,3,Stardust Moth,1,5,Creature,Pest,Flying,Core Set,,,
B,U,4,Frost Lynx,4,3,Creature,Cat Elemental,Debut: Stun an enemy creature.,Core Set,,,
B,U,4,Mage of Insight,3,4,Creature,Wizard,Debut: Draw a card.,Core Set,,,
B,U,4,Phantom Monster,3,3,Creature,Illusion Monster,Flying,Core Set,,,
B,U,5,Shimmering Komodo,6,6,Creature,Mystic Beast,Ward,Core Set,,,
B,U,6,Mahamoti Djinn,5,6,Creature,Monster,Flying,Core Set,,,
B,U,7,Megapiranha,7,11,Creature,Monster,Ward,Core Set,,,
B,U,1,Chill Wind,,,Spell,,Stun an enemy creature.,Core Set,,,
B,U,2,Arcane Flight,,,Spell,,Give a friendly creature flying.,Core Set,,,
B,U,2,Unsummon,,,Spell,,Return any creature to hand.,Core Set,,,
B,U,3,Divination,,,Spell,,Draw 2 cards.,Core Set,,,
B,U,4,Shell Game,,,Spell,,Transform an enemy creature into a Stone Turtle.,Core Set,,,
B,U,1,Disorient,,,Trap,,"After your opponent attacks, the strongest attacking creature gets -3/-0.",Core Set,,,
B,U,3,Call the Wind,,,Trap,,"At the end of your opponent’s turn, summon a Wind Elemental.",Core Set,,,
B,U,3,Icy Manipulator,,,Artifact,,Activate: Stun an enemy creature.,Core Set,,,
B,U,,Island,,,Land,Basic,,Core Set,,,
T,U,2,Giant Frog,3,3,Creature,Beast,,D&D: Icons,,,
T,U,2,Wizard's Familiar,1,1,Creature,Bird,"Level Up — Signature Spell,
Flying,
Debut: Reduce the cost of a random spell in your hand by 1.",D&D: Icons,,,
T,U,3,Wind Elemental,3,2,Creature,Elemental Bird,Flying,Core Set,,,
T,U,5,Water Elemental,5,4,Creature,Elemental,Sneak,D&D: Icons,,,
T,U,2,Signature Spell,,,Spell,,"Level Up — Elemental Mastery,
Draft a signature spell and add it to your hand.,
",D&D: Icons,,,
T,U,5,Concealing Arcana,,,Spell,,Give all friendly creatures sneak.,Opening Ceremony,,,
T,U,5,Possessing Arcana,,,Spell,,Gain control of an enemy creature.,Opening Ceremony,,,
T,U,5,Riddling Arcana,,,Spell,,Summon 3 Skymaster Sphinxes.,Opening Ceremony,,,
T,U,6,Elemental Mastery,,,Spell,,"For the rest of the game, if you spend 6 or more mana on spells during your turn, summon a Water Elemental at the end of it.",D&D: Icons,,,
T,U,3,Mage Mirror,,,Artifact,,Activate: Add a copy of a random spell from your opponent’s starting deck to your hand.,Opening Ceremony,,,
C,B,1,Shadow Weaver,1,3,Creature,Wizard,Finale: Mill a creature from your opponent's deck.,Opening Ceremony,,,
C,B,1,Silent Prowler,2,1,Creature,Rogue,Sneak,Opening Ceremony,,,
C,B,2,Infectious Scorpion,2,3,Creature,Pest,Finale: Add a Fatal Infection to your hand.,Opening Ceremony,,,
C,B,2,Vengeful Brute,3,2,Creature,Warrior Monster,Debut: Deal 2 damage to each player.,Opening Ceremony,,,
C,B,3,Bloodletter,2,2,Creature,Vampire,"Flying,
Debut: Drain 1 from your opponent.",Opening Ceremony,,,
C,B,3,Captain of the Dead,3,3,Creature,Zombie Warrior,Debut: Give all other friendly Zombies +1/+0.,Opening Ceremony,,,
C,B,3,Mausoleum Witch,2,2,Creature,Wizard,Debut: Give a friendly creature relentless.,Opening Ceremony,,,
C,B,3,Undead Striker,3,1,Creature,Zombie,Relentless,Opening Ceremony,,,
C,B,5,Shadow Operative,5,4,Creature,Rogue,Debut: Gets +2/+0 and sneak if a creature died this turn.,Opening Ceremony,,,
C,B,1,Fatal Infection,,,Spell,,Doom an enemy creature.,Opening Ceremony,,,
C,B,2,Ray of Enfeeblement,,,Spell,,Give an enemy creature -3/-1.,D&D: Icons,,,
C,B,3,Incapacitate,,,Spell,,"Halve an enemy creature's power and health, rounded down.",Opening Ceremony,,,
C,B,4,Silent Strike,,,Spell,,Give a friendly creature +2/+0 and sneak.,Opening Ceremony,,,
C,B,4,Unholy Recruitment,,,Spell,,Draft a creature that costs 3 and summon it. Give it relentless.,Opening Ceremony,,,
C,B,1,Envenom,,,Trap,,"After an enemy creature survives a fight, destroy it.",Opening Ceremony,,,
C,B,3,Crippling Bolt,,,Trap,,"After your opponent summons a creature, give it -4/-4.",Opening Ceremony,,,
C,B,3,Transparent Hallway,,,Trap,,"After your opponent attacks, summon a Gelatinous Cube.",D&D: Icons,,,
C,B,2,Abyssal Chain,,,Artifact,,Activate: Destroy a friendly creature to draw a card.,Opening Ceremony,,,
R,B,1,Cranial Consultant,2,2,Creature,Zombie,"After this is blocked, your opponent discards a random spell.",Opening Ceremony,,,
R,B,2,Counterfeiter,2,1,Creature,Rogue,"Sneak,
After this damages your opponent, add a copy of a random card from their deck to your hand.",Opening Ceremony,,,
R,B,2,Dead-onator,4,4,Creature,Zombie,Finale: Deal 4 damage to yourself.,Opening Ceremony,,,
R,B,2,Vampire Ritualist,1,2,Creature,Vampire,Debut: Gets +1/+0 for each damage dealt to your opponent this turn. ,Opening Ceremony,,,
R,B,3,Lurking Horror,0,4,Creature,Monster,Debut: Discard the creature in your hand with the highest cost. This gets power equal to that cost.,Opening Ceremony,,,
R,B,4,Bone Collector,4,4,Creature,Giant Warrior,Debut: Raise the cost of a random creature in your opponent’s hand by 2.,Opening Ceremony,,,
R,B,4,Nightsoul Dragon,2,5,Creature,Dragon,"Flying,
Attack: Give a random enemy creature -1/-1.",Opening Ceremony,,,
R,B,4,Sadistic Mindflayer,4,4,Creature,Monster,Debut: Give another friendly creature +4/+4 and destroy it at the end of this turn.,D&D: Icons,,,
R,B,5,Crazed Ripper,0,5,Creature,Vampire,Debut: Steal 4 power from an enemy creature.,Opening Ceremony,,,
R,B,6,Sinister Southpaw,5,4,Creature,Wizard,Debut: Destroy another friendly creature to destroy an enemy creature.,Opening Ceremony,,,
R,B,7,Ravenous Pit Lord,7,5,Creature,Demon,Debut: Raise the cost of all cards in your opponent's hand by 1.,Opening Ceremony,,,
R,B,1,Get Ahead,,,Spell,,Draw the bottom card of your opponent’s deck.,Opening Ceremony,,,
R,B,4,Infest,,,Spell,,Give all creatures -2/-2.,Opening Ceremony,,,
R,B,2,Pep Talk,,,Trap,,"After a friendly creature dies, resummon it from your graveyard.",Opening Ceremony,,,
